track,compound,tire_age_bucket,avg_speed_kmh,min_speed_kmh,max_speed_kmh,throttle_percent,braking_percent,coasting_percent,avg_gear,gear_changes
Abu Dhabi Grand Prix,HARD,cliff,209.36161742199744,59.0,313.0,0.5527817403708988,0.15652382587866454,0.048888751059562904,5.445491307131132,40.5
Abu Dhabi Grand Prix,HARD,fresh,210.03524556590605,62.0,311.0,0.5720653789004457,0.1686390532544378,0.0582241630276564,5.452415812591508,40.0
Abu Dhabi Grand Prix,HARD,old,210.3081603650965,60.0,313.0,0.5861359761295823,0.1634726967084214,0.04217096469607225,5.441653864283095,39.0
Abu Dhabi Grand Prix,HARD,prime,209.6981663657065,61.0,312.0,0.5773742915544984,0.16595440294645847,0.053454502162784204,5.45172098721849,40.0
Abu Dhabi Grand Prix,HARD,used,210.39100969451096,60.0,312.0,0.5808823529411765,0.1647058823529411,0.0535714285714285,5.468795355587808,40.0
Abu Dhabi Grand Prix,INTERMEDIATE,cliff,188.2160940623757,53.041000000000004,281.387,0.48644793152639093,0.18469811453682414,0.0537776261655192,5.282126567917198,38.475
Abu Dhabi Grand Prix,INTERMEDIATE,fresh,188.82168576374954,55.738,279.589,0.5034175334323923,0.1989940828402366,0.06404657933042204,5.288843338213763,38.0
Abu Dhabi Grand Prix,INTERMEDIATE,old,189.06703616822176,53.94,281.387,0.5157996589940325,0.19289778211593725,0.04638806116567948,5.278404248354603,37.05
Abu Dhabi Grand Prix,INTERMEDIATE,prime,188.51865156277015,54.839,280.488,0.5080893765679586,0.19582619547682098,0.05879995237906263,5.2881693576019355,38.0
Abu Dhabi Grand Prix,INTERMEDIATE,used,189.14151771536535,53.94,280.488,0.5111764705882353,0.19435294117647048,0.05892857142857135,5.304731494920174,38.0
Abu Dhabi Grand Prix,MEDIUM,cliff,194.19821214659453,61.0,317.0,0.5096929352008619,0.1908772869817356,0.05466059216468645,4.9162898652273395,44.0
Abu Dhabi Grand Prix,MEDIUM,fresh,194.19821214659453,61.0,317.0,0.5096929352008619,0.1908772869817356,0.05466059216468645,4.9162898652273395,44.0
Abu Dhabi Grand Prix,MEDIUM,old,208.6715482371768,59.5,312.0,0.5948395253760766,0.1643548980861264,0.0567148484938242,5.346639364457575,38.5
Abu Dhabi Grand Prix,MEDIUM,prime,208.54198596139364,61.0,313.0,0.5798561151079137,0.1736011477761836,0.0469208211143695,5.37151248164464,40.0
Abu Dhabi Grand Prix,MEDIUM,used,209.25331514647763,61.0,310.0,0.5959533959277645,0.16901323309592892,0.0393365926902512,5.362595668787517,40.0
Abu Dhabi Grand Prix,SOFT,cliff,210.9889829181184,68.0,307.0,0.6054131054131054,0.1562974203338391,0.0379362670713201,5.55690440060698,40.0
Abu Dhabi Grand Prix,SOFT,fresh,210.9889829181184,68.0,307.0,0.6054131054131054,0.1562974203338391,0.0379362670713201,5.55690440060698,40.0
Abu Dhabi Grand Prix,SOFT,old,210.9889829181184,68.0,307.0,0.6054131054131054,0.1562974203338391,0.0379362670713201,5.55690440060698,40.0
Abu Dhabi Grand Prix,SOFT,prime,210.57011298701872,66.0,309.0,0.6043860452339529,0.15238194162055124,0.044427512670532146,5.526143676982988,37.5
Abu Dhabi Grand Prix,SOFT,used,208.388251848106,63.0,311.0,0.5738880918220947,0.1592539454806312,0.0465444287729196,5.493449781659389,41.0
Abu Dhabi Grand Prix,WET,cliff,176.70120510416584,49.796,264.17199999999997,0.4145863052781741,0.2034809736422639,0.058666501271475484,5.064306915631953,36.45
Abu Dhabi Grand Prix,WET,fresh,177.26974725762472,52.327999999999996,262.484,0.4290490341753343,0.21923076923076912,0.06986899563318767,5.0707467057101026,36.0
Abu Dhabi Grand Prix,WET,old,177.50008734814145,50.64,264.17199999999997,0.43960198209718676,0.21251450572094782,0.050605157635286696,5.060738093783279,35.1
Abu Dhabi Grand Prix,WET,prime,176.98525241265628,51.484,263.328,0.4330307186658738,0.21574072383039603,0.06414540259534104,5.070100518113196,36.0
Abu Dhabi Grand Prix,WET,used,177.57001218216723,50.64,263.328,0.43566176470588236,0.2141176470588234,0.0642857142857142,5.085979680696662,36.0
Australian Grand Prix,HARD,cliff,231.41303169143984,88.0,309.0,0.6741214057507987,0.1357827476038338,0.0143769968051118,6.0894568690095845,39.0
Australian Grand Prix,HARD,fresh,228.04539309764715,89.5,310.0,0.6497583914551242,0.1427409931840311,0.0315262651308287,5.898398459900058,33.0
Australian Grand Prix,HARD,old,227.05151054937653,88.0,308.0,0.6565838342841828,0.13674084163927125,0.028985133941713252,5.97515864339478,34.0
Australian Grand Prix,HARD,prime,229.30426943481476,89.0,310.0,0.6617161716171617,0.1405750798722044,0.0286624203821656,5.9308600337268125,32.0
Australian Grand Prix,HARD,used,228.22881429230472,88.0,309.0,0.6611261855442595,0.14011200344625985,0.02764218101190275,5.922766248291289,31.0
Australian Grand Prix,INTERMEDIATE,cliff,208.04031549060443,79.112,277.791,0.5932268370607029,0.16022364217252388,0.015814696485622982,5.906773162939297,37.05
Australian Grand Prix,INTERMEDIATE,fresh,205.0128083947848,80.4605,278.69,0.5717873844805093,0.1684343719571567,0.03467889164391157,5.721446506103056,31.349999999999998
