race_id,year,round,track,driver,race_lap,compound,tire_age,is_inlap,is_outlap,post_cliff,lap_time_sec,avg_speed_kmh,min_speed_kmh,max_speed_kmh,throttle_percent,braking_percent,coasting_percent,avg_gear,gear_changes
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,24,HARD,7.0,False,False,0,95.289,204.7274691100278,63.0,300.0,0.5806896551724138,0.2082758620689655,0.044137931034482755,5.306206896551724,39
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,25,HARD,8.0,False,False,0,95.342,203.6186010046589,64.0,300.0,0.589041095890411,0.18356164383561643,0.04794520547945205,5.271232876712329,37
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,26,HARD,9.0,False,False,0,95.223,203.76766919066597,65.0,301.0,0.592032967032967,0.19917582417582416,0.04120879120879121,5.2458791208791204,38
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,27,HARD,10.0,False,False,0,95.581,202.17240827994968,63.0,300.0,0.5671232876712329,0.19863013698630136,0.04657534246575343,5.215068493150685,40
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,28,HARD,11.0,False,False,0,95.477,200.64375805954094,65.0,300.0,0.5708390646492435,0.2077028885832187,0.04401650618982118,5.204951856946355,40
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,29,HARD,12.0,False,False,0,95.793,202.65163277193008,62.0,300.0,0.5746478873239437,0.20140845070422536,0.038028169014084505,5.22112676056338,38
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,30,HARD,13.0,False,False,0,95.771,202.08286382234115,65.0,300.0,0.5725915875169606,0.19131614654002713,0.05698778833107191,5.240162822252374,42
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,31,HARD,14.0,False,False,0,95.679,201.97693871146743,63.0,301.0,0.575,0.2,0.04583333333333333,5.175,42
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,32,HARD,15.0,False,False,0,95.886,200.03870822335608,62.0,301.0,0.5704125177809388,0.19487908961593173,0.049786628733997154,5.190611664295875,38
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,33,HARD,16.0,False,False,0,95.863,201.19298648793216,60.0,302.0,0.573049645390071,0.18014184397163122,0.0524822695035461,5.178723404255319,41
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,34,HARD,17.0,False,False,0,96.133,203.17130577244362,62.0,302.0,0.5838068181818182,0.19886363636363635,0.04403409090909091,5.21875,39
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,35,HARD,18.0,False,False,0,96.018,201.15276018831437,62.0,303.0,0.573997233748271,0.20055325034578148,0.05394190871369295,5.182572614107884,39
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,36,HARD,19.0,False,False,0,96.205,201.93728393088765,61.0,302.0,0.5752461322081576,0.1940928270042194,0.05485232067510549,5.220815752461322,37
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,37,HARD,20.0,True,False,0,99.234,194.24409611558775,61.0,303.0,0.5265251989389921,0.22944297082228116,0.04907161803713528,5.049071618037135,42
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,38,SOFT,1.0,False,True,0,116.445,164.26733110645128,0.0,292.0,0.40635641316685583,0.22587968217934165,0.02724177071509648,4.136208853575482,48
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,39,SOFT,2.0,False,False,0,92.608,208.45523561071676,66.0,301.0,0.6301564722617354,0.1891891891891892,0.034139402560455195,5.355618776671408,39
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,40,SOFT,3.0,False,False,0,96.589,200.07942342442473,64.0,303.0,0.5068870523415978,0.22589531680440772,0.048209366391184574,5.239669421487603,41
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,41,SOFT,4.0,False,False,0,95.29,202.26483452161415,66.0,303.0,0.53601108033241,0.20498614958448755,0.05263157894736842,5.28393351800554,40
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,42,SOFT,5.0,False,False,0,94.667,204.43854885558363,65.0,302.0,0.5678670360110804,0.18698060941828254,0.04986149584487535,5.297783933518006,41
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,VER,43,SOFT,6.0,False,False,0,94.151,205.14748641805076,64.0,303.0,0.5800561797752809,0.19662921348314608,0.047752808988764044,5.306179775280899,39
