race_id,year,round,track,driver,team,race_lap,stint,compound,tire_age,lap_time_sec,is_inlap,is_outlap,circuit_length(km)
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,COL,Williams,49.0,2.0,MEDIUM,2.0,80.348,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,NOR,McLaren,50.0,2.0,HARD,20.0,80.545,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PER,Red Bull Racing,49.0,3.0,MEDIUM,6.0,82.073,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,ZHO,Kick Sauber,49.0,2.0,MEDIUM,7.0,81.689,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,RUS,Mercedes,50.0,2.0,HARD,19.0,81.086,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HAM,Mercedes,50.0,2.0,HARD,22.0,80.918,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,VER,Red Bull Racing,50.0,2.0,HARD,24.0,81.023,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,MAG,Haas F1 Team,50.0,2.0,HARD,20.0,81.066,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HUL,Haas F1 Team,50.0,2.0,HARD,21.0,81.316,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PIA,McLaren,50.0,2.0,HARD,11.0,80.569,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,GAS,Alpine,50.0,2.0,HARD,22.0,81.713,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,STR,Aston Martin,50.0,2.0,HARD,25.0,81.586,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LAW,RB,50.0,2.0,MEDIUM,11.0,81.438,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,SAI,Ferrari,51.0,2.0,HARD,19.0,80.825,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LEC,Ferrari,51.0,2.0,HARD,20.0,80.321,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,COL,Williams,50.0,2.0,MEDIUM,3.0,80.09,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,NOR,McLaren,51.0,2.0,HARD,21.0,80.405,False,False,4.304
