driver,team
VER,Red Bull Racing
LEC,Ferrari
RUS,Mercedes
NOR,McLaren
HAM,Mercedes
PIA,McLaren
ALO,Aston Martin
SAR,Williams
SAI,Ferrari
ZHO,Kick Sauber
RIC,RB
TSU,RB
ALB,Williams
HUL,Haas F1 Team
OCO,Alpine
GAS,Alpine
BOT,Kick Sauber
MAG,Haas F1 Team
PER,Red Bull Racing
STR,Aston Martin
BEA,Ferrari
COL,Williams
BEA,Haas F1 Team
LAW,RB
DOO,Alpine
